ags5,ags8,ags11,beschaeftigte_ot,ot_besch_ao,kr_be_ao_ges,gem_be_ao_ges,ot_besch_ags5_python
01055,01055046,01055046052,17.0,26.0,64509,4940.0,64606.0
01055,01055046,01055046053,2.0,9.0,64509,4940.0,64606.0
01055,01055046,01055046054,1.0,1.0,64509,4940.0,64606.0
01055,01055046,01055046055,14.0,40.0,64509,4940.0,64606.0
01055,01055046,01055046056,160.0,101.0,64509,4940.0,64606.0
11000,11000000,11000000001,35345.0,17572.0,1686597,1686597.0,1686595.0
11000,11000000,11000000002,3792.0,4530.0,1686597,1686597.0,1686595.0
11000,11000000,11000000003,15504.0,12773.0,1686597,1686597.0,1686595.0
11000,11000000,11000000004,7250.0,5991.0,1686597,1686597.0,1686595.0
11000,11000000,11000000005,2223.0,3412.0,1686597,1686597.0,1686595.0
11000,11000000,11000000006,8231.0,8803.0,1686597,1686597.0,1686595.0
11000,11000000,11000000007,1731.0,1854.0,1686597,1686597.0,1686595.0
11000,11000000,11000000008,368.0,415.0,1686597,1686597.0,1686595.0
11000,11000000,11000000009,5260.0,4334.0,1686597,1686597.0,1686595.0
11000,11000000,11000000010,7341.0,4982.0,1686597,1686597.0,1686595.0
11000,11000000,11000000011,14894.0,11441.0,1686597,1686597.0,1686595.0
11000,11000000,11000000012,10208.0,6063.0,1686597,1686597.0,1686595.0
11000,11000000,11000000013,7392.0,7988.0,1686597,1686597.0,1686595.0
11000,11000000,11000000014,125539.0,106930.0,1686597,1686597.0,1686595.0
11000,11000000,11000000015,5083.0,3680.0,1686597,1686597.0,1686595.0
11000,11000000,11000000016,9715.0,7585.0,1686597,1686597.0,1686595.0
11000,11000000,11000000017,298.0,324.0,1686597,1686597.0,1686595.0
11000,11000000,11000000018,2828.0,3827.0,1686597,1686597.0,1686595.0
11000,11000000,11000000019,5916.0,5342.0,1686597,1686597.0,1686595.0
11000,11000000,11000000020,5049.0,5228.0,1686597,1686597.0,1686595.0
11000,11000000,11000000021,12086.0,14370.0,1686597,1686597.0,1686595.0
11000,11000000,11000000022,3286.0,5788.0,1686597,1686597.0,1686595.0
11000,11000000,11000000023,3610.0,5589.0,1686597,1686597.0,1686595.0
11000,11000000,11000000024,72916.0,56721.0,1686597,1686597.0,1686595.0
11000,11000000,11000000025,2478.0,4513.0,1686597,1686597.0,1686595.0
11000,11000000,11000000026,710.0,927.0,1686597,1686597.0,1686595.0
11000,11000000,11000000027,26436.0,22607.0,1686597,1686597.0,1686595.0
11000,11000000,11000000028,1620.0,3474.0,1686597,1686597.0,1686595.0
11000,11000000,11000000029,1897.0,2077.0,1686597,1686597.0,1686595.0
11000,11000000,11000000030,5238.0,5156.0,1686597,1686597.0,1686595.0
11000,11000000,11000000031,5676.0,5440.0,1686597,1686597.0,1686595.0
11000,11000000,11000000032,10202.0,10645.0,1686597,1686597.0,1686595.0
11000,11000000,11000000033,1441.0,1551.0,1686597,1686597.0,1686595.0
11000,11000000,11000000034,3541.0,3518.0,1686597,1686597.0,1686595.0
11000,11000000,11000000035,1486.0,3144.0,1686597,1686597.0,1686595.0
11000,11000000,11000000036,2628.0,2720.0,1686597,1686597.0,1686595.0
11000,11000000,11000000037,9743.0,11158.0,1686597,1686597.0,1686595.0
11000,11000000,11000000038,4308.0,5819.0,1686597,1686597.0,1686595.0
11000,11000000,11000000039,9007.0,6189.0,1686597,1686597.0,1686595.0
11000,11000000,11000000040,6081.0,6530.0,1686597,1686597.0,1686595.0
11000,11000000,11000000041,1905.0,2865.0,1686597,1686597.0,1686595.0
11000,11000000,11000000042,3485.0,5441.0,1686597,1686597.0,1686595.0
11000,11000000,11000000043,4966.0,4705.0,1686597,1686597.0,1686595.0
11000,11000000,11000000044,755.0,1276.0,1686597,1686597.0,1686595.0
11000,11000000,11000000045,18119.0,18365.0,1686597,1686597.0,1686595.0
11000,11000000,11000000046,336646.0,161851.0,1686597,1686597.0,1686595.0
11000,11000000,11000000047,11938.0,10113.0,1686597,1686597.0,1686595.0
11000,11000000,11000000048,28356.0,17837.0,1686597,1686597.0,1686595.0
11000,11000000,11000000049,6108.0,9688.0,1686597,1686597.0,1686595.0
11000,11000000,11000000050,31665.0,29158.0,1686597,1686597.0,1686595.0
11000,11000000,11000000051,504.0,1166.0,1686597,1686597.0,1686595.0
11000,11000000,11000000052,7162.0,8714.0,1686597,1686597.0,1686595.0
11000,11000000,11000000053,214.0,202.0,1686597,1686597.0,1686595.0
11000,11000000,11000000054,13532.0,13634.0,1686597,1686597.0,1686595.0
11000,11000000,11000000055,12834.0,9742.0,1686597,1686597.0,1686595.0
11000,11000000,11000000056,6737.0,5508.0,1686597,1686597.0,1686595.0
11000,11000000,11000000057,25273.0,23105.0,1686597,1686597.0,1686595.0
11000,11000000,11000000058,543238.0,243560.0,1686597,1686597.0,1686595.0
11000,11000000,11000000059,141945.0,68010.0,1686597,1686597.0,1686595.0
11000,11000000,11000000060,961.0,1488.0,1686597,1686597.0,1686595.0
11000,11000000,11000000061,3036.0,5333.0,1686597,1686597.0,1686595.0
11000,11000000,11000000062,35872.0,46047.0,1686597,1686597.0,1686595.0
11000,11000000,11000000063,2281.0,3673.0,1686597,1686597.0,1686595.0
11000,11000000,11000000064,6726.0,7905.0,1686597,1686597.0,1686595.0
11000,11000000,11000000065,3284.0,3158.0,1686597,1686597.0,1686595.0
11000,11000000,11000000066,5096.0,5658.0,1686597,1686597.0,1686595.0
11000,11000000,11000000067,10658.0,15551.0,1686597,1686597.0,1686595.0
